id,launch date,state_control,suit and belt,year,net profit,asset_beginning,asset_end,equity,liability,EBIT,current_asset,current_liability,RD,turnover,circulation
2104,39092,0,0,2014,292190795.2,1229251300,1583424984,1251233812,332191172.1,308056615.5,1176259648,326767897,252698874.3,1263818122,196533856
2104,39092,0,0,2015,374171223.9,1583424984,1920722746,1567853200,352869545.9,408416336.9,1318641014,334588199.7,263660326.7,2673785779,313253074
2104,39092,0,0,2016,152760235.2,1920722746,2034025047,1663970073,370054973.9,152054435.1,1292734594,308939881.5,290706593.2,1411428582,349821819
2104,39092,0,0,2017,164115552.6,2034025047,2186573316,1880764530,305808785.4,177278591.6,1422532243,284579523.7,464022620.8,1281175105,409269424
2104,39092,0,0,2018,147632268.1,2186573316,2250514166,1982722451,267791715.3,158096000.6,1618161089,250081963.7,570105594.6,3501761582,1027686529
2105,39094,0,0,2012,15797562.29,1408104934,1424259945,567281217.4,856978727.6,78152136.28,757394578.2,740483141.9,85111492.06,482298381,70000000
2105,39094,0,0,2013,-6348905.76,1424259945,1441620460,597056537.9,844563921.7,34159680.72,815354207.6,723017074.8,92593162.96,1037322551,76125000
2105,39094,0,0,2014,-3912886.49,1441620460,1473903230,591198811.1,882704418.8,40275034.76,842986926,813663384.3,90527844.2,1114259763,328551563
2105,39094,0,0,2015,-69422876.65,1473903230,1313285842,515880273.5,797405568.5,-38288996.36,717312639.6,782739897.7,84958620.73,2068025731,322814063
2105,39094,0,0,2016,14617056.47,1313285842,1393041277,531858579.2,861182698.2,50160124.09,820608715.8,784473467.9,647923977.7,273562781,892988196
2105,39094,0,0,2017,43002737.1,1393041277,1454028744,571976920.6,882051823.9,83404158.87,869690063.7,807285673.5,740645328.9,1845849883,538952097
2105,39094,0,0,2018,-7781894.09,1454028744,1656718374,569368708.9,1087349665,29960720.51,971656176.9,963841473.4,728886529.1,696005265,538952097
2106,39094,1,0,2012,143489134.2,2789699322,2780583009,2515907041,264675967.8,149258745.8,1431037712,248545967.8,44488481.15,441358934,30000000
2106,39094,1,0,2013,68023544.65,2780583009,5190849886,4172998289,1017851597,34488011.64,3085285915,832028722.8,50295481.96,744159951,46687320
2106,39094,1,0,2014,17133178.5,5190849886,5160652181,4116173197,1044478984,-28675847.85,2788563538,801642776.2,60864999.81,1227237509,74900160
2106,39094,1,0,2015,-608799810.9,5160652181,4281341617,3493986396,787355220.9,-663208696.4,2443598988,558333578,307815510.9,3887432144,286153589
2106,39094,1,0,2016,222752732.7,4281341617,4647211397,3717929490,929281907.9,173327477.3,2957597961,711861652.4,314260249.8,2201933932,301341214
2106,39094,1,0,2017,148627463.1,4647211397,4671844410,3792930505,878913904.8,247060549.6,3001425896,676343786.9,350441730.1,456320281,367103837
2106,39094,1,0,2018,227518458.9,4671844410,4845035176,3843708179,1001326997,235353155.6,3287703899,812073859.4,426863777.3,1169334768,366912372
2107,39106,0,0,2012,8340373.44,622349614.5,643697102.7,594414268.4,49282834.25,4620173.35,386855683,40282834.25,123818947.8,1014268766,50000000
2107,39106,0,0,2013,10621288.44,643697102.7,645047401.2,605035556.9,40011844.36,7954763.53,400162940.5,36365026.18,125663562.6,1154064380,50000000
2107,39106,0,0,2014,36547999.82,645047401.2,668638484.4,631744756.7,36893727.63,35517254.21,435297972.9,32791395.48,120322831,1201827816,120500000
2107,39106,0,0,2015,81928389.38,668638484.4,668227952.5,547258898.6,120969053.9,78964348.25,346275356.8,81958770.64,119579444,2519929971,147929242
2107,39106,0,0,2016,61453894.75,668227952.5,705626466.9,572637193.4,132989273.5,74488308.16,378909982.9,94156729.54,140919742.2,1961445768,151367961
2107,39106,0,0,2017,80797936.08,705626466.9,855495508.8,655781316.6,199714192.2,100996276.9,538621915,189853598.7,153447091.6,878084849,401915162
2107,39106,0,0,2018,39995975.16,855495508.8,922375081.5,695777291.8,226597789.8,45843756.09,561586698.8,212967973.5,129570229.5,6068193489,403779684
2108,39106,0,0,2012,124382120.4,1289719666,1779882860,1109184501,670698359.3,190277606.2,1100521972,597695997.3,398416775.2,326576793,72550000
2108,39106,0,0,2013,151920305.8,1779882860,2146192080,1199876943,946315137.1,233155305.1,1324424779,767804045.1,496315827.2,770592455,94900000
2108,39106,0,0,2014,169287887,2146192080,2519113369,1627033416,892079952.7,263065349.8,1527870855,765428924.3,671569391.4,1470092169,191544803
2108,39106,0,0,2015,215396339.6,2519113369,2435486575,1791843320,643643254.3,293906801.5,1323613973,609480483.7,646618854.3,3696745309,255251604
2108,39106,0,0,2016,486582327.8,2435486575,3631394772,2772315754,859079018,631987525.5,2163055930,610407732.4,618040528.9,2089357089,279621826
2108,39106,0,0,2017,545058530.1,3631394772,3828758494,3214719138,614039355.6,717789711.5,2084724218,523481729.2,590185984.5,2811475658,705315175
2108,39106,0,0,2018,292724087.6,3828758494,4846529541,3297359264,1549170277,387370375.6,2110611105,1265977614,659209209.5,7593106552,705402442
2109,39108,1,0,2012,130428118.1,1727998439,1733884288,1291559597,442324691.3,168526603.1,664613397.3,327967548.4,75513387.23,333412630,126000000
